,ReviewTitle_new,ReviewBody_new,Product
3560,awesome product,awesome product purchased pc,boAt Rockerz 255
3561,value money,good product fine audio quality andbass great,boAt Rockerz 255
3562,go,bought best budget wirless bluetooth ear phone bass sound quality must improved little bit,boAt Rockerz 255
3563,great product decent price,product quality good sound good price quite stylish ultra light super satisfied,boAt Rockerz 255
3564,good product,loved month use commenting no issue product,boAt Rockerz 255
3565,good not well battery back,good product money worthy earphone except good battery back last hardly hr,boAt Rockerz 255
3566,performance good expect batter backup,battery backup improved better performance overall performance good,boAt Rockerz 255
3567,received different product,got boat different headphone instead boat rockerz,boAt Rockerz 255
3568,decent sound quality not durable,stopped working around month year warranty no idea avail,boAt Rockerz 255
3569,trendy comfortable,great product noise cancellation effective battery performance also great,boAt Rockerz 255
3570,trendy comfortable,great product noise cancellation effective battery performance also great,boAt Rockerz 255
3571,not satisfied,average quality,boAt Rockerz 255
3572,sound brokening waste product,sound brokening waste product,boAt Rockerz 255
3573,good one,nice product battery life also good,boAt Rockerz 255
3574,avarage sound high price,bought product lot expectation output average flat better go jbl,boAt Rockerz 255
3575,awesome product within price range,overall product expectation sound quality awesome product fab price range,boAt Rockerz 255
3576,value money,quality button good also good build quality best bass lover not bass vocal also clear,boAt Rockerz 255
3577,internal issue,sometimes automatically get disconnected sound quality good need work disconnecting issue,boAt Rockerz 255
3578,value money,sound quality good battery life disappointment keep power bank using trip,boAt Rockerz 255
3579,waste waste waste,month one side speaker stopped working delicate product boat not know replace no,boAt Rockerz 255
3580,worst calling,worst outside sound original voice sound quality not good,boAt Rockerz 255
3581,product really good,product really owsmmm suit one plus fit ear good sound quality really good product,boAt Rockerz 255
3582,avg,ear paining using not flexible use also need handle care material not strong,boAt Rockerz 255
3583,amazing worth,likely superb no waste money shud try everyone not believe le price get worthy amazing product,boAt Rockerz 255
3584,overall good one,think reducing wire length,boAt Rockerz 255
3585,good,good baught april,boAt Rockerz 255
3586,best wireless earphone,best sound quality price,boAt Rockerz 255
3587,great,nice product balance sound good battery life happy buy,boAt Rockerz 255
3588,not sweat proof good,not suitable gymming not sweat proof,boAt Rockerz 255
3589,good earphone le price,got k design not looking cool,boAt Rockerz 255
3590,superb product go ahead,awesome product using past month best result backup hr full usage volume max,boAt Rockerz 255
3591,not,different,boAt Rockerz 255
3592,average product,price r buy,boAt Rockerz 255
3593,value money,value money sound quality improve,boAt Rockerz 255
3594,boat help,buy device month right side not working poor cabel connection earbud,boAt Rockerz 255
3595,awesome product,excellent,boAt Rockerz 255
3596,excellent,everything good,boAt Rockerz 255
3597,good,good product,boAt Rockerz 255
3598,excellent product,nice product long liasting battery good sound quality,boAt Rockerz 255
3599,battery life issue,battery life little short everything else top class,boAt Rockerz 255
3600,fabulous earphone,crystal clear soundpremium lookgood baseboat rockzzz,boAt Rockerz 255
3601,good product overall,nice product coz never used headphone till not know abt quality good think,boAt Rockerz 255
3602,okay okay product budget,sound quality decent not good faced mic problem overall product ok ok,boAt Rockerz 255
3603,awesome product,product reliable per cost performance awesome must buy product,boAt Rockerz 255
3604,easy manage,good use eco sound come voice not good,boAt Rockerz 255
3605,not like,much voice distortion talikg vocal high music not heard,boAt Rockerz 255
3606,waste product disappointed,product not good qualityproduct stopped working month timeplease help replace product,boAt Rockerz 255
3607,worst product,tired bluetooth two month product not working properly,boAt Rockerz 255
3608,decent sound quality battery,month used like sound performance battery also good stay upto hr,boAt Rockerz 255
3609,sound quality superb bluetooth quality worst song cracking phone pant pocket,sound quality superb bluetooth quality worst song cracking put phone pant pocket,boAt Rockerz 255
3610,sound quality superb bluetooth quality worst song cracking phone pant pocket,sound quality superb bluetooth quality worst song cracking put phone pant pocket,boAt Rockerz 255
3611,feel good,osm product,boAt Rockerz 255
3612,value money,overall performance good product value money not disappoint user,boAt Rockerz 255
3613,overall good,collar bend time use,boAt Rockerz 255
3614,ok,sound quality ok ca hear bass not feel music,boAt Rockerz 255
3615,poor quality,right side stopped working month,boAt Rockerz 255
3616,not good,not good expected producing hishh sound aslo charging port not mark,boAt Rockerz 255
3617,great buy,pumping bass good sound quality,boAt Rockerz 255
3618,awesome product,really like product,boAt Rockerz 255
3619,excellent,excellent,boAt Rockerz 255
3620,good,good,boAt Rockerz 255
3621,no durability,noise coming grom right side returned product,boAt Rockerz 255
3622,intrupted connection,best sound quality time give intrupt voice due may distance device headset,boAt Rockerz 255
3623,lovely product,great product pocket friendly good daily use battery backup around hour okay,boAt Rockerz 255
3624,poor battery backup,poor battery backup display power everytime connect device soon dy,boAt Rockerz 255
3625,product not working,item not taking charging not comment anything product unable power,boAt Rockerz 255
3626,bought headphone thanks amazon great deal summer deal thanks lot,awesome product,boAt Rockerz 255
3627,not compartable,not good,boAt Rockerz 255
3628,awsome bass lovely sound,really loved bass sound clearity good liked much good product value,boAt Rockerz 255
3629,average product,sound amazing bluetooth connectivity bad bluetooth earphone connectivity important,boAt Rockerz 255
3630,average product,sound amazing bluetooth connectivity bad bluetooth earphone connectivity important,boAt Rockerz 255
3631,bohat hard,battery backup good sound not good price amazon high,boAt Rockerz 255
3632,happy,nice product good boat,boAt Rockerz 255
3633,waste money,not work noise cancellation,boAt Rockerz 255
3634,best bluetooth till,easy operate excellent noise cancellation good sound,boAt Rockerz 255
3635,worth price,bought really worth price nice battery backup good sound quality build quality,boAt Rockerz 255
3636,expect r,value moneymaterial goodsound goodnoise cancellation good,boAt Rockerz 255
3637,high bass good sound quality,high bass combination huawai mobile,boAt Rockerz 255
3638,nice economical product,good product within budget lack battery backup,boAt Rockerz 255
3639,melodicious,sound quality bass noice camcellation price else need,boAt Rockerz 255
3640,melodicious,sound quality bass noice camcellation price else need,boAt Rockerz 255
3641,average product,noice cancellation poor lightweigh dgood sound quality,boAt Rockerz 255
3642,liked,good product,boAt Rockerz 255
3643,warranty claim,month one side earphone not workinghow claim warranty help appreciated,boAt Rockerz 255
3644,good,dint like connectivity move mobile step away loses sound connectivity,boAt Rockerz 255
3645,average product,want change piecemicrophone phone not working properlyplease share exchange,boAt Rockerz 255
3646,poor quality,purchased month ago bad quality noise fallen drastically unable hear anything,boAt Rockerz 255
3647,go,noise cancellation sound quality design battery backup really osm never expected loved nice earphone,boAt Rockerz 255
3648,waste money,using day boat logo disappear also braking connection using work bike riding,boAt Rockerz 255
3649,left side not working,product awesome suddenly last week sound not coming left side kindly help regarding,boAt Rockerz 255
3650,left side not working,product awesome suddenly last week sound not coming left side kindly help regarding,boAt Rockerz 255
3651,average headset,headset performance average volume low tried extra ear tip provided nothing fit perfectly,boAt Rockerz 255
3652,value money product,battery backup hour sound good decent bass product not disappoint go,boAt Rockerz 255
3653,horrible durability,left earphone stopped working week,boAt Rockerz 255
3654,not fit properly,overall nice product not fit properly ear keep falling could improved,boAt Rockerz 255
3655,average,sound quality not good bluetooth connectivity also poor build battery life decent,boAt Rockerz 255
3656,worth price,battery life amazing sound quality per price good comfortable ear,boAt Rockerz 255
3657,,bluetooth range low le,boAt Rockerz 255
3658,not good,not worth not meet expectation,boAt Rockerz 255
3659,valuable product,awesome sound quality battery life,boAt Rockerz 255
3660,gifted husband loved,awesome product,boAt Rockerz 255
3661,awesomen,awesome product,boAt Rockerz 255
3662,boat rock,clear sound baterry backup good,boAt Rockerz 255
3663,good sound awesome bass good battery,good product firm neckband look decieving picture buy ok look like,boAt Rockerz 255
3664,worth buying,amazing sound quality,boAt Rockerz 255
3665,good product,good jogging sometimes bud pop start hurt put long,boAt Rockerz 255
3666,want replace posibile soon,product good month left earphone time not work properly lose connection,boAt Rockerz 255
3667,boat,good product boatsound quality greatless time chargingbattery life good,boAt Rockerz 255
3668,cost effective worth money spent,everything product perfect absolutely magical music earphone,boAt Rockerz 255
3669,awesome,sound quality good battery backup hour,boAt Rockerz 255
3670,product genuinity,please let know whether purchased product genuine not trying register product failed,boAt Rockerz 255
3671,poor call sound,call sound quality poorbattery life okdurability ok,boAt Rockerz 255
3672,nice,sound quality awesome,boAt Rockerz 255
3673,not support aptx,no aptx buying expect average sound quality audio codec,boAt Rockerz 255
3674,good not best,good product price,boAt Rockerz 255
3675,good,,boAt Rockerz 255
3676,classy,battery life awesome sound quality better durability good,boAt Rockerz 255
3677,worst product worst customer service not buy,not compatible laptop issue c not even ready listen help,boAt Rockerz 255
3678,good earphone,sound quality not great good noise cancellation,boAt Rockerz 255
3679,okay price get,like way bluetooth flexible bad eco reduction,boAt Rockerz 255
3680,impressive,best experience price,boAt Rockerz 255
3681,best budget,got deal no bt earphone give kind feel,boAt Rockerz 255
3682,not work calling,sound quality ok keep disconnecting can not hear anything call,boAt Rockerz 255
3683,good one,piece worth money check background sound ear piece recd good one replacement,boAt Rockerz 255
3684,battery life not hour playback show,battery life not hour playback showsplease someone help replace product,boAt Rockerz 255
3685,bang buck,best ever heard meet standard set bose earphone worth k quality not noise cancellation,boAt Rockerz 255
3686,battery life,starting feel like complete package not battery not best sound quality awsome,boAt Rockerz 255
3687,magnificent,heard manpreet first time voice gadget sound like heaven flowing earth,boAt Rockerz 255
3688,right ear plug stopped working,right earplug not working want exchange product suddenly stopped working without damage,boAt Rockerz 255
3689,amazing,best got jut happy price product worth,boAt Rockerz 255
3690,improve connectivity strength,bad connecvity distanceand battery backup tell u upto hour till stand bu hour,boAt Rockerz 255
3691,bluetooth range le,sound quality satisfactory bluetooth range around meter bad thing,boAt Rockerz 255
3692,awesome sound quality,awesome sound quality base excellent good choice fitness lover easy carry,boAt Rockerz 255
3693,good,sound good bt microphone not good,boAt Rockerz 255
3694,one good quality bluetooth headphone,good bluetooth device working well power backup good,boAt Rockerz 255
3695,working expected,sound quality good price little bit high around inr,boAt Rockerz 255
3696,sound stuttering month use,music stuttering playing music experience good first issue hope,boAt Rockerz 255
3697,aswm product,jst aswm,boAt Rockerz 255
3698,not think twice go,awesome productnoise cancellation superbsong clarity superb,boAt Rockerz 255
3699,best product price,good sound quality price range increase bass clearity not upto expectation,boAt Rockerz 255
3700,best product price,good sound quality price range increase bass clearity not upto expectation,boAt Rockerz 255
3701,nice,actually ordered black color one received green color product good,boAt Rockerz 255
3702,package box seal opened pasted seller,product good sound quality fine package box seal opened pasted seller,boAt Rockerz 255
3703,boat rockerz,put high end brand shame price got icing cake,boAt Rockerz 255
3704,good audio nice one boat,nice boat dream set,boAt Rockerz 255
3705,value money,awesome product really love,boAt Rockerz 255
3706,good,awesome product,boAt Rockerz 255
3707,good product,good product,boAt Rockerz 255
3708,ok,ok,boAt Rockerz 255
3709,sound quality not good,sound quality not good,boAt Rockerz 255
3710,not matching per description,no pouch extra ear bud box advertised app,boAt Rockerz 255
